"","Pclass","Sex","Age","SibSp","Parch","Fare","dummies.sex","predictedValue","PredictedSurvived","RealSurvived"
"34",3,"female",30.2725903614458,1,2,23.45,0,0.493939849933162,0,1
"35",1,"male",30,1,0,57.75,1,0.423724471901207,0,0
"36",3,"male",18.5,0,0,7.2292,1,0.131159432762214,0,0
"37",3,"female",30.2725903614458,0,0,8.05,0,0.635765099372895,1,1
"38",3,"female",21,0,0,8.6625,0,0.704600600090662,1,1
"39",3,"male",25,0,0,9.5,1,0.109059875890022,0,0
"40",3,"male",30.2725903614458,0,0,56.4958,1,0.107601750064225,0,0
"41",3,"male",39,0,1,13.4167,1,0.0623429186311783,0,0
"42",1,"male",30.2725903614458,0,0,26.55,1,0.474883370719191,0,0
"43",3,"male",41,0,0,7.85,1,0.0665305581521736,0,0
"44",2,"female",30,0,0,13,0,0.837804104713514,1,1
"45",1,"female",45,1,0,52.5542,0,0.882016809266331,1,1
"46",3,"male",25,0,0,7.925,1,0.1085358145089,0,0
"47",1,"male",45,0,0,29.7,1,0.358385757421649,0,0
"48",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"49",1,"female",60,0,0,76.2917,0,0.871525183170853,1,1
"50",3,"female",36,0,2,15.9,0,0.520339614483482,1,1
"51",1,"male",24,1,0,60,1,0.475250354650857,0,0
"52",2,"male",27,0,0,15.0333,1,0.251722248004599,0,0
"53",2,"female",20,2,1,23,0,0.770127718880312,1,1
"54",1,"female",28,3,2,263,0,0.912555713292933,1,1
"55",2,"male",30.2725903614458,0,0,15.5792,1,0.232001552160059,0,0
"56",3,"male",10,4,1,29.125,1,0.0483688562406275,0,0
"57",3,"male",35,0,0,7.8958,1,0.0801443013516686,0,0
"58",3,"male",25,0,0,7.65,1,0.108444538835217,0,0
"59",3,"male",30.2725903614458,1,0,16.1,1,0.0706177574151709,0,0
"60",1,"female",36,0,0,262.375,0,0.966297359771235,1,1
"61",3,"male",17,0,0,7.8958,1,0.137254480267068,0,0
"62",2,"male",32,0,0,13.5,1,0.220636482049879,0,0
"63",3,"male",18,0,0,7.75,1,0.133283480857985,0,0
"64",3,"female",22,0,0,7.725,0,0.696911863552172,1,1
"65",1,"male",13,2,2,262.375,1,0.581574079387295,1,0
"66",2,"female",30.2725903614458,0,0,21,0,0.840280233794994,1,1
"67",3,"female",18,0,0,7.8792,0,0.724514260714835,1,1
"68",1,"male",47,0,0,42.4,1,0.353041707533591,0,0
"69",1,"male",31,0,0,28.5375,1,0.470518547931161,0,0
"70",1,"female",60,1,4,263,0,0.833429698318023,1,1
"71",3,"female",24,0,0,7.75,0,0.682616101423442,1,1
"72",3,"male",21,0,0,7.8958,1,0.122165204287268,0,0
"73",3,"female",29,0,0,7.925,0,0.645466324767166,1,1
"74",1,"male",28.5,0,0,27.7208,1,0.490691148337232,0,0
"75",1,"female",35,0,0,211.5,0,0.961385936398911,1,1
"76",1,"male",32.5,0,0,211.5,1,0.612926207875934,1,0
"77",3,"male",30.2725903614458,0,0,8.05,1,0.0926477810602443,0,0
"78",1,"female",55,2,0,25.7,0,0.779348474165342,1,1
"79",2,"male",30,0,0,13,1,0.232049173959543,0,0
"80",3,"female",24,0,0,7.75,0,0.682616101423442,1,1
"81",3,"male",6,1,1,15.2458,1,0.127445540877456,0,0
"82",1,"male",67,1,0,221.7792,1,0.272441946441761,0,0
"83",1,"male",49,0,0,26,1,0.325441515581839,0,0
"84",3,"male",30.2725903614458,0,0,7.8958,1,0.092603306924884,0,0
"85",2,"male",30.2725903614458,0,0,10.7083,1,0.22903661803057,0,0
"86",3,"male",30.2725903614458,1,0,14.4542,1,0.0702479819440625,0,0
"87",3,"female",27,0,0,7.8792,0,0.660587428083117,1,1
"88",3,"female",18,0,0,8.05,0,0.724631232897572,1,1
"89",3,"female",30.2725903614458,0,0,7.75,0,0.635526666578096,1,1
"90",2,"male",2,1,1,23,1,0.33081956278975,0,0
"91",3,"female",22,1,0,13.9,0,0.629643598515704,1,1
"92",3,"male",30.2725903614458,0,0,7.775,1,0.092568479360528,0,0
"93",1,"female",27,1,2,52,0,0.90895073236611,1,1
"94",3,"male",30.2725903614458,0,0,8.05,1,0.0926477810602443,0,0
"95",1,"male",25,0,0,26,1,0.518474345462998,1,0
"96",3,"male",25,0,0,7.7958,1,0.108492923137579,0,0
"97",1,"female",76,1,0,78.85,0,0.743635157061301,1,1
"98",3,"male",29,0,0,7.925,1,0.096251534037285,0,0
"99",3,"female",20,0,0,7.8542,0,0.710945235411012,1,1
"100",3,"male",33,0,0,8.05,1,0.0852581396823109,0,0
"101",1,"female",43,1,0,55.4417,0,0.889778292216966,1,1
"102",2,"male",27,1,0,26,1,0.201821025817354,0,0
"103",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"104",3,"male",26,0,0,7.775,1,0.105292930786349,0,0
"105",3,"female",16,1,1,8.5167,0,0.635856550484869,1,1
"106",3,"male",28,0,0,22.525,1,0.103768762568557,0,0
"107",3,"male",21,0,0,7.8208,1,0.122137605806636,0,0
"108",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"109",3,"male",30.2725903614458,0,0,8.7125,1,0.0928390765982475,0,0
"110",2,"male",18.5,0,0,13,1,0.307443559916259,0,0
"111",2,"male",41,0,0,15.0458,1,0.173975646792834,0,0
"112",3,"female",30.2725903614458,0,0,7.7792,0,0.635549876961632,1,1
"113",1,"female",36,0,0,31.6792,0,0.928523237776432,1,1
"114",3,"female",18.5,0,0,7.2833,0,0.720752135504501,1,1
"115",1,"female",63,1,0,221.7792,0,0.879773680818989,1,1
"116",3,"male",18,1,0,14.4542,1,0.102259736436846,0,0
"117",3,"male",30.2725903614458,0,0,6.4375,1,0.0921836533211782,0,0
"118",3,"female",1,1,1,16.7,0,0.747865724846357,1,1
"119",1,"male",36,0,0,75.2417,1,0.468780510135588,0,0
"120",2,"female",29,1,0,26,0,0.801692102096409,1,1
"121",2,"female",12,0,0,15.75,0,0.904953864893109,1,1
"122",3,"male",30.2725903614458,1,0,7.75,1,0.0687601223134144,0,0
"123",1,"female",35,1,0,57.75,0,0.914040765445906,1,1
"124",3,"male",28,0,0,7.25,1,0.0989940363677648,0,0
"125",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"126",3,"female",17,0,1,16.1,0,0.705397807606308,1,1
"127",3,"male",22,0,0,7.7958,1,0.118587191801096,0,0
"128",3,"female",30.2725903614458,2,0,23.25,0,0.490730092012349,0,1
"129",2,"male",42,0,0,13,1,0.168236177825763,0,0
"130",3,"male",24,0,0,8.05,1,0.111857563811759,0,0
"131",3,"male",32,0,0,8.05,1,0.0879033506426128,0,0
"132",1,"male",53,0,0,28.5,1,0.298574012725933,0,0
"133",3,"female",30.2725903614458,0,4,25.4667,0,0.498708659323465,0,1
"134",3,"male",30.2725903614458,1,0,6.4375,1,0.0684722765215661,0,0
"135",3,"male",43,0,0,7.8958,1,0.0625035129934935,0,0
"136",3,"male",24,0,0,7.8542,1,0.111790828879179,0,0
"137",3,"male",26.5,0,0,7.225,1,0.103552347441481,0,0
"138",2,"male",26,0,0,13,1,0.25674128385385,0,0
"139",3,"female",23,0,0,8.05,0,0.690038720020085,1,1
"140",3,"male",40,1,6,46.9,1,0.0234335639310759,0,0
"141",3,"female",10,5,2,46.9,0,0.363964918142228,0,1
"142",1,"female",33,0,0,151.55,0,0.955888938994296,1,1
"143",1,"male",61,1,3,262.375,1,0.248108094610406,0,0
"144",2,"male",28,0,0,26,1,0.252511127672664,0,0
"145",1,"male",42,0,0,26.55,1,0.379225647356125,0,0
"146",3,"male",31,3,0,18,1,0.037639835848975,0,0
"147",1,"male",30.2725903614458,0,0,51.8625,1,0.496578317975371,0,0
"148",3,"male",22,0,0,8.05,1,0.118678401917336,0,0
"149",1,"male",30.2725903614458,0,0,26.55,1,0.474883370719191,0,0
"150",2,"male",30,1,1,26,1,0.1637217058401,0,0
"151",1,"female",23,0,1,83.1583,0,0.953480395454897,1,1
"152",3,"male",30.2725903614458,0,0,7.8958,1,0.092603306924884,0,0
"153",3,"male",60.5,0,0,0,1,0.0348757234152017,0,0
"154",3,"female",36,0,2,12.1833,0,0.517155483912592,1,1
"155",3,"male",13,4,2,31.3875,1,0.038147568383381,0,0
"156",3,"male",24,0,0,7.55,1,0.111687216782745,0,0
"157",1,"female",29,0,0,221.7792,0,0.969253078706759,1,1
"158",3,"female",23,0,0,7.8542,0,0.68989498755848,1,1
"159",1,"male",42,0,0,26.55,1,0.379225647356125,0,0
"160",3,"female",26,0,2,13.775,0,0.600755458541336,1,1
"161",3,"female",30.2725903614458,0,0,7.7333,0,0.635513391863032,1,1
"162",3,"male",7,1,1,15.2458,1,0.123771887659683,0,0
"163",2,"female",26,0,0,13.5,0,0.85538744877636,1,1
"164",3,"male",30.2725903614458,0,0,7,1,0.0923453206081698,0,0
"165",2,"male",41,0,0,13,1,0.172969049797573,0,0
"166",3,"female",26,1,1,22.025,0,0.566915743968642,1,1
"167",1,"male",48,0,0,50.4958,1,0.351748166093075,0,0
"168",3,"male",18,2,2,34.375,1,0.0607609438155032,0,0
"169",1,"female",30.2725903614458,0,0,27.7208,0,0.939472601274869,1,1
"170",3,"female",22,0,0,8.9625,0,0.697808123855445,1,1
"171",3,"male",30.2725903614458,0,0,7.55,1,0.0925036414947382,0,0
"172",3,"male",27,0,0,7.225,1,0.102010027754393,0,0
"173",3,"male",23,1,0,13.9,1,0.0877423331019099,0,0
"174",3,"male",30.2725903614458,0,0,7.2292,1,0.092411267637207,0,0
"175",3,"male",40,1,5,31.3875,1,0.0258912906681919,0,0
"176",2,"female",15,0,2,39,0,0.872358525331144,1,1
"177",2,"female",20,0,0,36.75,0,0.886751921507984,1,1
"178",1,"male",54,1,0,55.4417,1,0.246339663062383,0,0
"179",2,"female",36,0,3,39,0,0.743459612284012,1,1
"180",1,"female",64,0,2,83.1583,0,0.816571973688365,1,1
"181",2,"male",30,0,0,13,1,0.232049173959543,0,0
"182",1,"male",37,1,1,83.1583,1,0.352070046391854,0,0
"183",1,"female",18,1,0,53.1,0,0.948665802763257,1,1
"184",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"185",1,"female",27,1,1,247.5208,0,0.958006690657479,1,1
"186",2,"male",40,0,0,16,1,0.179316644163578,0,0
"187",2,"female",21,0,1,21,0,0.859964405005577,1,1
"188",3,"male",17,2,0,8.05,1,0.0769853936663697,0,0
"189",3,"female",30.2725903614458,8,2,69.55,0,0.10640445474717,0,1
"190",2,"male",40,0,0,13,1,0.177806605557612,0,0
"191",2,"male",34,1,0,26,1,0.166713118604269,0,0
"192",1,"male",30.2725903614458,0,0,26,1,0.474412728879116,0,0
"193",3,"male",11.5,1,1,14.5,1,0.108102458863945,0,0
"194",2,"male",61,0,0,12.35,1,0.0965669400731122,0,0
"195",2,"male",8,0,2,32.5,1,0.33071905880416,0,0
"196",3,"male",33,0,0,7.8542,1,0.0852057516732402,0,0
"197",1,"male",6,0,2,134.5,1,0.683702744680163,1,0
"198",3,"female",18,0,0,7.775,0,0.724442884342922,1,1
"199",2,"male",23,0,0,10.5,1,0.274640656487915,0,0
"200",3,"female",30.2725903614458,0,0,8.1125,0,0.635814764486933,1,1
"201",3,"female",30.2725903614458,0,0,15.5,0,0.641664555240466,1,1
"202",3,"male",0.33,0,2,14.4,1,0.17231212355766,0,0
"203",1,"male",47,1,0,227.525,1,0.427136214595896,0,0
"204",2,"female",8,1,1,26,0,0.87477653332521,1,1
"205",2,"male",25,0,0,10.5,1,0.261515956806765,0,0
"206",1,"male",30.2725903614458,0,0,25.7417,1,0.474191713992801,0,0
"207",3,"female",35,0,0,7.75,0,0.59817519643081,1,1
"208",2,"male",24,0,0,10.5,1,0.268027390526003,0,0
"209",1,"female",33,0,0,27.7208,0,0.934071977083914,1,1
"210",3,"male",25,0,0,7.8958,1,0.108526119491069,0,0
"211",3,"male",32,0,0,22.525,1,0.0919683633940987,0,0
"212",3,"male",30.2725903614458,0,0,7.05,1,0.092359703352255,0,0
"213",2,"male",17,0,0,73.5,1,0.364865820203969,0,0
"214",2,"female",60,1,0,26,0,0.589027161740868,1,1
"215",3,"female",38,4,2,7.775,0,0.21316862479313,0,1
"216",1,"male",42,0,0,42.5,1,0.392193537805049,0,0
"217",3,"female",30.2725903614458,0,0,7.8792,0,0.635629359798863,1,1
"218",1,"male",57,1,1,164.8667,1,0.269224338009059,0,0
"219",1,"female",50,1,1,211.5,0,0.903294337775842,1,1
"220",3,"male",30.2725903614458,0,0,8.05,1,0.0926477810602443,0,0
"221",2,"female",30,1,0,13.8583,0,0.789478887135216,1,1
"222",3,"male",21,0,0,8.05,1,0.122221963628646,0,0
"223",2,"female",22,0,0,10.5,0,0.870004947662186,1,1
"224",3,"male",21,0,0,7.7958,1,0.122128407505906,0,0
"225",1,"female",53,0,0,27.4458,0,0.878792053765906,1,1
"226",3,"female",30.2725903614458,0,2,15.2458,0,0.567275011269659,1,1
"227",3,"male",23,0,0,7.7958,1,0.115135189795488,0,0
"228",3,"female",30.2725903614458,0,0,7.75,0,0.635526666578096,1,1
"229",3,"male",40.5,0,0,15.1,1,0.0691614576961103,0,0
"230",2,"male",36,0,0,13,1,0.198216610476646,0,0
"231",2,"male",14,0,0,65,1,0.381514474487448,0,0
"232",1,"female",21,0,0,26.55,0,0.954712337576123,1,1
"233",3,"male",21,1,0,6.4958,1,0.0911207888219808,0,0
"234",3,"male",30.2725903614458,0,0,7.8792,1,0.0925985203206139,0,0
"235",1,"male",39,1,0,71.2833,1,0.363058665557534,0,0
"236",3,"male",20,0,0,7.8542,1,0.125782317587986,0,0
"237",1,"male",64,1,0,75.25,1,0.200245990348245,0,0
"238",3,"male",20,0,0,7.225,1,0.125545080394962,0,0
"239",2,"female",18,1,1,13,0,0.827034474042122,1,1
"240",1,"female",48,1,0,106.425,0,0.890531833482697,1,1
"241",1,"female",55,0,0,27.7208,0,0.87158921205232,1,1
"242",2,"female",45,0,2,30,0,0.708390884082,1,1
"243",1,"male",45,1,1,134.5,1,0.331509268788667,0,0
"244",3,"male",30.2725903614458,0,0,7.8875,1,0.0926009135949773,0,0
"245",3,"male",30.2725903614458,1,2,23.45,1,0.0540133276044793,0,0
"246",1,"male",41,1,0,51.8625,1,0.33277527443199,0,0
"247",2,"female",22,0,0,21,0,0.874026053001404,1,1
"248",2,"male",42,1,1,32.5,1,0.118168353602859,0,0
"249",2,"female",29,1,0,26,0,0.801692102096409,1,1
"250",3,"female",30.2725903614458,1,0,14.4542,0,0.563620665334053,1,1
"251",2,"female",0.92,1,2,27.75,0,0.884035282588002,1,1
"252",3,"male",20,0,0,7.925,1,0.12580903643723,0,0
"253",1,"male",27,1,0,136.7792,1,0.516007197509492,1,0
"254",3,"male",24,0,0,9.325,1,0.112292976892861,0,0
"255",3,"male",32.5,0,0,9.5,1,0.0869658913590299,0,0
"256",3,"male",30.2725903614458,0,0,7.55,1,0.0925036414947382,0,0
"257",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"258",3,"male",28,0,0,8.05,1,0.0992391743547631,0,0
"259",2,"female",19,0,0,13,0,0.881835990855201,1,1
"260",3,"male",21,0,0,7.775,1,0.122120754974199,0,0
"261",3,"male",36.5,1,0,17.4,1,0.0583548583391001,0,0
"262",3,"male",21,0,0,7.8542,1,0.122149895667052,0,0
"263",2,"female",29,0,2,23,0,0.801987760298334,1,1
"264",3,"female",1,1,1,12.1833,0,0.74493182299441,1,1
"265",2,"male",30,0,0,12.7375,1,0.231888685529336,0,0
"266",3,"male",30.2725903614458,0,0,7.8958,1,0.092603306924884,0,0
"267",1,"male",30.2725903614458,0,0,0,1,0.452230628515152,0,0
"268",3,"male",30.2725903614458,0,0,7.55,1,0.0925036414947382,0,0
"269",3,"female",30.2725903614458,0,0,8.05,0,0.635765099372895,1,1
"270",3,"male",17,0,0,8.6625,1,0.137566336890879,0,0
"271",1,"male",46,0,0,75.2417,1,0.387094149051617,0,0
"272",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"273",1,"female",26,1,0,136.7792,0,0.949609913563155,1,1
"274",3,"female",30.2725903614458,1,0,15.5,0,0.564503147491863,1,1
"275",3,"male",30.2725903614458,0,0,7.225,1,0.0924100588034229,0,0
"276",2,"female",20,1,0,26,0,0.845267621094473,1,1
"277",2,"male",28,0,0,10.5,1,0.242604133419701,0,0
"278",2,"male",40,1,0,26,1,0.140661675840667,0,0
"279",2,"male",30,1,0,21,1,0.18355266954833,0,0
"280",2,"male",22,0,0,10.5,1,0.281354376333061,0,0
"281",3,"female",23,0,0,8.6625,0,0.69048810569633,1,1
"282",3,"male",0.75,1,1,13.775,1,0.147647905407648,0,0
"283",3,"female",30.2725903614458,0,0,7.75,0,0.635526666578096,1,1
"284",3,"female",9,1,1,15.2458,0,0.693103570338829,1,1
"285",3,"female",2,1,1,20.2125,0,0.743809784553656,1,1
"286",3,"male",36,0,0,7.25,1,0.0775539919119126,0,0
"287",3,"male",30.2725903614458,0,0,7.25,1,0.0924172544519557,0,0
"288",1,"male",24,1,0,82.2667,1,0.494333358995736,0,0
"289",3,"male",30.2725903614458,0,0,7.2292,1,0.092411267637207,0,0
"290",3,"male",30.2725903614458,0,0,8.05,1,0.0926477810602443,0,0
"291",1,"male",30.2725903614458,0,0,39.6,1,0.486061655964239,0,0
"292",3,"female",30,0,0,6.95,0,0.637001555193252,1,1
"293",3,"male",30.2725903614458,0,0,7.2292,1,0.092411267637207,0,0
"294",1,"male",53,1,1,81.8583,1,0.240558854891263,0,0
"295",3,"male",36,0,0,9.5,1,0.0781081710812242,0,0
"296",3,"male",26,0,0,7.8958,1,0.105331990036789,0,0
"297",2,"female",1,1,2,41.5792,0,0.888547761056451,1,1
"298",3,"male",30.2725903614458,2,0,21.6792,1,0.053089258160086,0,0
"299",1,"male",30,0,0,45.5,1,0.493399699780153,0,0
"300",3,"male",29,0,0,7.8542,1,0.0962304014965387,0,0
"301",3,"male",32,0,0,7.775,1,0.0878277168437868,0,0
"302",2,"male",30.2725903614458,0,0,15.0458,1,0.231675567656836,0,0
"303",2,"male",43,0,1,21,1,0.146831974857941,0,0
"304",3,"male",24,0,0,8.6625,1,0.11206654836905,0,0
"305",3,"female",30.2725903614458,0,0,7.75,0,0.635526666578096,1,1
"306",1,"female",64,1,1,26.55,0,0.756094369420944,1,1
"307",1,"male",30,1,2,151.55,1,0.426390421539935,0,0
"308",3,"male",0.83,0,1,9.35,1,0.190326090964444,0,0
"309",1,"male",55,1,1,93.5,1,0.235669821640902,0,0
"310",3,"female",45,1,0,14.1083,0,0.440790764629128,0,1
"311",3,"male",18,0,0,8.6625,1,0.133645632741075,0,0
"312",3,"male",22,0,0,7.225,1,0.118382602721061,0,0
"313",3,"male",30.2725903614458,0,0,7.575,1,0.0925108436874671,0,0
"314",3,"female",37,0,0,7.75,0,0.581994631102828,1,1
"315",1,"female",55,0,0,135.6333,0,0.90766098311013,1,1
"316",3,"female",17,0,0,7.7333,0,0.731041901058868,1,1
"317",1,"male",57,1,0,146.5208,1,0.287813390011528,0,0
"318",2,"male",19,0,0,10.5,1,0.302082122872869,0,0
"319",3,"male",27,0,0,7.8542,1,0.102207989872993,0,0
"320",2,"male",22,2,0,31.5,1,0.180647954272267,0,0
"321",3,"male",26,0,0,7.775,1,0.105292930786349,0,0
"322",3,"male",25,0,0,7.2292,1,0.108305000980479,0,0
"323",2,"male",26,0,0,13,1,0.25674128385385,0,0
"324",1,"male",33,0,0,26.55,1,0.452200480258395,0,0
"325",1,"female",39,0,0,211.3375,0,0.956077011229929,1,1
"326",3,"male",23,0,0,7.05,1,0.114874703184997,0,0
"327",2,"female",12,2,1,39,0,0.822231740577963,1,1
"328",1,"male",46,0,0,79.2,1,0.390321786856227,0,0
"329",2,"male",29,1,0,26,1,0.191258702429621,0,0
"330",2,"male",21,0,0,13,1,0.28993002850815,0,0
"331",2,"female",48,0,2,36.75,0,0.692193613376677,1,1
"332",1,"male",39,0,0,29.7,1,0.405722813845128,0,0
"333",3,"male",30.2725903614458,0,0,7.225,1,0.0924100588034229,0,0
"334",3,"female",19,1,1,15.7417,0,0.618188904292929,1,1
"335",3,"male",27,0,0,7.8958,1,0.102221090268372,0,0
"336",1,"male",30,0,0,26,1,0.476686829690275,0,0
"337",2,"male",32,0,0,13,1,0.220341575107952,0,0
"338",3,"male",39,0,2,7.2292,1,0.0527770195016839,0,0
"339",2,"male",25,0,0,31.5,1,0.275670702846572,0,0
"340",3,"male",30.2725903614458,0,0,7.2292,1,0.092411267637207,0,0
"341",2,"male",18,0,0,10.5,1,0.309180728839943,0,0
"342",3,"male",32,0,0,7.5792,1,0.0877739014276748,0,0
"343",3,"male",30.2725903614458,1,9,69.55,1,0.0220265395182955,0,0
"344",1,"female",58,0,1,512.3292,0,0.965184590969944,1,1
"345",3,"male",30.2725903614458,1,1,14.5,1,0.060755390270672,0,0
"346",3,"female",16,0,0,7.65,0,0.737512503899583,1,1
"347",2,"male",26,0,0,13,1,0.25674128385385,0,0
"348",3,"female",38,0,0,7.2292,0,0.573398215962991,1,1
"349",2,"male",24,0,0,13.5,1,0.270051973828224,0,0
"350",2,"female",31,0,0,21,0,0.836987544268013,1,1
"351",1,"female",45,0,1,63.3583,0,0.901711875496907,1,1
"352",2,"male",25,0,0,10.5,1,0.261515956806765,0,0
"353",2,"male",18,0,0,73.5,1,0.357149693199381,0,0
"354",2,"male",49,1,2,65,1,0.0921213161825829,0,0
"355",3,"female",0.17,1,2,20.575,0,0.725683643289622,1,1
"356",1,"male",50,0,0,26,1,0.3181415041511,0,0
"357",1,"female",59,2,0,51.4792,0,0.77145377952056,1,1
"358",3,"male",30.2725903614458,0,0,7.8792,1,0.0925985203206139,0,0
"359",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"360",3,"female",30,1,0,15.55,0,0.566785563392629,1,1
"361",3,"male",14.5,8,2,69.55,1,0.0116680513147366,0,0
"362",2,"female",24,1,1,37.0042,0,0.809447931528084,1,1
"363",2,"female",31,0,0,21,0,0.836987544268013,1,1
"364",3,"male",27,0,0,8.6625,1,0.102462800875613,0,0
"365",1,"female",25,1,0,55.4417,0,0.936468702601896,1,1
"366",3,"female",30.2725903614458,1,9,69.55,0,0.277985032798868,0,1
"367",3,"male",30.2725903614458,1,0,14.4583,1,0.0702489008970451,0,0
"368",3,"female",22,0,0,39.6875,0,0.719568076430996,1,1
"369",1,"female",45,0,1,59.4,0,0.900501408493318,1,1
"370",2,"male",29,0,0,13.8583,1,0.238598114115259,0,0
"371",2,"male",21,1,0,11.5,1,0.227231685126378,0,0
"372",1,"female",31,0,0,134.5,0,0.956241378174541,1,1
"373",1,"male",49,0,0,0,1,0.306167318555476,0,0
"374",2,"male",44,0,0,13,1,0.159081208767998,0,0
"375",1,"female",54,1,1,81.8583,0,0.839658257371512,1,1
"376",1,"female",45,0,0,262.375,0,0.954991150178609,1,1
"377",3,"female",22,2,0,8.6625,0,0.547252823656261,1,1
"378",2,"male",21,0,0,11.5,1,0.288871454788033,0,0
"379",1,"male",55,0,0,50,1,0.300016952983398,0,0
"380",3,"male",5,4,2,31.3875,1,0.04927552423177,0,0
"381",3,"male",30.2725903614458,0,0,7.75,1,0.0925612731383915,0,0
"382",3,"male",26,0,0,7.8792,1,0.105326621865698,0,0
"383",3,"female",30.2725903614458,0,0,14.5,0,0.640875123832675,1,1
"384",3,"female",19,1,0,16.1,0,0.654434356468712,1,1
"385",2,"male",30.2725903614458,0,0,12.875,1,0.23035219767138,0,0
"386",2,"female",24,1,2,65,0,0.800114220984038,1,1
"387",3,"male",24,0,0,7.775,1,0.111763844861375,0,0
"388",2,"male",57,0,0,13,1,0.109103248346311,0,0
"389",3,"male",21,0,0,7.75,1,0.122111557765995,0,0
"390",3,"male",6,3,1,21.075,1,0.0724259823521928,0,0
"391",1,"male",23,0,0,93.5,1,0.592055557157152,1,0
"392",1,"female",51,0,1,39.4,0,0.873633344704664,1,1
"393",3,"male",13,0,2,20.25,1,0.122059698133367,0,0
"394",2,"male",47,0,0,10.5,1,0.145044319260459,0,0
"395",3,"male",29,3,1,22.025,1,0.0350228482240362,0,0
"396",1,"female",18,1,0,60,0,0.949806749472022,1,1
"397",3,"male",24,0,0,7.25,1,0.111585117464796,0,0
"398",1,"female",48,1,1,79.2,0,0.863805873424923,1,1
"399",3,"male",22,0,0,7.775,1,0.118579731188655,0,0
"400",3,"male",31,0,0,7.7333,1,0.0905329767777273,0,0
"401",1,"female",30,0,0,164.8667,0,0.961653116851359,1,1
"402",2,"male",38,1,0,21,1,0.146782453943168,0,0
"403",1,"female",22,0,1,59.4,0,0.951300656509901,1,1
"404",1,"male",17,0,0,47.1,1,0.602032609069713,1,0
"405",1,"male",43,1,0,27.7208,1,0.300397344492736,0,0
"406",2,"male",20,0,0,13.8625,1,0.29748273050218,0,0
"407",2,"male",23,1,0,10.5,1,0.215118895117554,0,0
"408",1,"male",50,1,1,211.5,1,0.353342403439629,0,0
"409",3,"female",30.2725903614458,0,0,7.7208,0,0.635503455564137,1,1
"410",3,"female",3,1,1,13.775,0,0.733083448116813,1,1
"411",3,"female",30.2725903614458,0,0,7.75,0,0.635526666578096,1,1
"412",1,"female",37,1,0,90,0,0.917418107824589,1,1
"413",3,"female",28,0,0,7.775,0,0.652966663505265,1,1
"414",3,"male",30.2725903614458,0,0,8.05,1,0.0926477810602443,0,0
